countyfp,Male_under_5E,Male_under_5M,Male_5_to_9E,Male_5_to_9M,Male_10_to_14E,Male_10_to_14M,Male_15_to_17E,Male_15_to_17M,Female_under_5E,Female_under_5M,Female_5_to_9E,Female_5_to_9M,Female_10_to_14E,Female_10_to_14M,Female_15_to_17E,Female_15_to_17M,Sex_By_Age_TotalE,Sex_By_Age_TotalM,Male_65_to_66E,Male_65_to_66M,Male_67_to_69E,Male_67_to_69M,Male_70_to_74E,Male_70_to_74M,Male_75_to_79E,Male_75_to_79M,Male_80_to_84E,Male_80_to_84M,Male_85_and_overE,Male_85_and_overM,Female_65_to_66E,Female_65_to_66M,Female_67_to_69E,Female_67_to_69M,Female_70_to_74E,Female_70_to_74M,Female_75_to_79E,Female_75_to_79M,Female_80_to_84E,Female_80_to_84M,Female_85_and_overE,Female_85_and_overM,Median_AgeE,Median_AgeM,AsianAloneE,AsianAloneM,BlackAloneE,BlackAloneM,WhiteAloneE,WhiteAloneM,HispanicAloneE,HispanicAloneM,AmericanIndianAloneE,AmericanIndianAloneM,NativeHawaiianAloneE,NativeHawaiianAloneM,SomeOtherRaceAloneE,SomeOtherRaceAloneM,TwoorMoreRacesAloneE,TwoorMoreRacesAloneM,TwoorMoreRacesIncludingSomeotherRaceAloneE,TwoorMoreRacesIncludingSomeotherRaceAloneM,TwoorMoreRacesExcludingSomeotherRaceAloneE,TwoorMoreRacesExcludingSomeotherRaceAloneM,TotalRaceE,TotalRaceM,DroveAloneE,DroveAloneM,TotalTransportationE,TotalTransportationM,Drove_20_to_24E,Drove_20_to_24M,Drove_25_to_29E,Drove_25_to_29M,Drove_30_to_34E,Drove_30_to_34M,Drove_35_to_44E,Drove_35_to_44M,Drove_45_to_59E,Drove_45_to_59M,Drove_60_or_MoreE,Drove_60_or_MoreM,Kindergaten_MaleE,Kindergaten_MaleM,Grade_1_to_4_MaleE,Grade_1_to_4_MaleM,Grade_5_to_8_MaleE,Grade_5_to_8_MaleM,Grade_9_to_12_MaleE,Grade_9_to_12_MaleM,Kindergaten_FemaleE,Kindergaten_FemaleM,Grade_1_to_4_FemaleE,Grade_1_to_4_FemaleM,Grade_5_to_8_FemaleE,Grade_5_to_8_FemaleM,Grade_9_to_12_FemaleE,Grade_9_to_12_FemaleM,Kindergaten_TotalMaleE,Kindergaten_TotalMaleM,Grade_1_to_4_TotalMaleE,Grade_1_to_4_TotalMaleM,Grade_5_to_8_TotalMaleE,Grade_5_to_8_TotalMaleM,Grade_9_to_12_TotalMaleE,Grade_9_to_12_TotalMaleM,Kindergaten_TotalFemaleE,Kindergaten_TotalFemaleM,Grade_1_to_4_TotalFemaleE,Grade_1_to_4_TotalFemaleM,Grade_5_to_8_TotalFemaleE,Grade_5_to_8_TotalFemaleM,Grade_9_to_12_TotalFemaleE,Grade_9_to_12_TotalFemaleM,NoSchoolingE,NoSchoolingM,HighSchoolDiplomaE,HighSchoolDiplomaM,GEDorAlternativeE,GEDorAlternativeM,SomeCollegeLessThan1YearE,SomeCollegeLessThan1YearM,SomeCollege1orMoreYearsNoDegreeE,SomeCollege1orMoreYearsNoDegreeM,AssociateDegreeE,AssociateDegreeM,BachelorsDegreeE,BachelorsDegreeM,MastersDegreeE,MastersDegreeM,ProfessionalSchoolDegreeE,ProfessionalSchoolDegreeM,DoctorateDegreeE,DoctorateDegreeM,TotalEducationAttainmentE,TotalEducationAttainmentM,MedianHouseholdIncomeE,MedianHouseholdIncomeM,VeteranE,VeteranM,TotalVeteranE,TotalVeteranM,CivilianInLaborForceEmployedE,CivilianInLaborForceEmployedM,TotalInLaborForceE,TotalInLaborForceM,VacantE,VacantM,TotalOccupancyE,TotalOccupancyM,OccupiedE,OccupiedM,RenterOccupiedNoVehicleE,RenterOccupiedNoVehicleM,OwnerOccupiedNoVehicleE,OwnerOccupiedNoVehicleM,TotalVehicleByTenureE,TotalVehicleByTenureM,TotalGrossRentE,TotalGrossRentM,OwnerOccupiedE,OwnerOccupiedM,TotalOwnerOccupiedE,TotalOwnerOccupiedM,BroadbandE,BroadbandM,TotalBroadbandE,TotalBroadbandM
007,611,751,551,745,752,935,435,541,569,775,708,837,832,894,418,546,24430,6690,360,532,422,580,509,557,327,420,175,372,179,338,474,629,449,534,518,505,498,648,333,479,308,505,826.0,239.0,315,511,11775,5047,10905,3900,1002,1126,56,282,8,261,17,261,352,553,6,257,346,550,24430,6690,8436,3441,9972,3770,837,957,431,516,1601,1313,805,874,1054,1126,806,924,80,360,49,316,38,291,46,278,0,260,52,316,20,278,54,290,135,394,606,835,518,771,590,631,127,370,558,722,750,821,471,568,105,338,5994,2644,985,849,1199,958,2574,1614,1591,1255,1391,1068,492,581,15,258,54,280,17637,4918,829801.0,314509.0,1421,1109,19528,5358,10353,3820,11211,4133,1853,1396,11656,2900,9803,2732,349,539,340,515,9803,2732,3247,1806,6556,2257,9803,2732,5834,2296,9803,2732
023,923,1169,1067,1213,1167,1333,667,834,896,1156,982,1184,950,1059,567,823,32260,9943,328,535,627,671,717,764,619,688,164,422,164,436,340,516,804,818,763,722,574,719,465,612,391,592,1221.0,352.0,151,541,11875,6207,18868,6654,670,1049,123,483,0,390,14,389,559,838,0,390,559,838,32260,9943,11113,4630,12808,5094,1569,1479,587,770,2130,1689,1043,986,1822,1575,960,987,0,390,0,390,13,388,47,398,58,445,2,382,44,427,27,410,207,588,840,1045,888,1098,993,1084,395,703,715,1000,701,917,687,909,284,519,7987,3436,1192,1127,1356,1163,3059,2048,2166,1605,2121,1565,763,837,141,460,62,391,22513,6323,1338018.0,580235.0,2002,1274,25041,7118,13412,5194,14109,5410,1911,1668,14772,3573,12861,3367,457,677,650,775,12861,3367,2728,1690,10133,2968,12861,3367,5698,2434,12861,3367
025,6941,7202,7159,7000,8835,8379,4966,5341,6480,6897,6899,7164,8177,7501,4732,5439,211605,61891,1597,2710,2536,3289,3662,3892,1882,2893,1133,2327,1305,2685,1992,2917,2709,3465,4445,4585,2890,3647,1694,2686,2095,3012,4622.0,1113.0,8780,8069,38402,26812,135642,45929,22444,20384,497,2044,128,1698,1197,3021,4515,6095,628,2399,3887,5521,211605,61891,82796,30125,94622,32832,11781,9366,7501,7066,15149,11101,8887,8077,11327,9450,5527,5765,105,1629,315,1899,346,1811,350,1827,116,1651,323,1830,707,2202,558,2052,1124,2539,6250,6829,6470,6470,6896,6677,850,2278,5679,6369,6386,6255,6603,6652,1697,3200,30116,16776,5605,6031,10668,8609,20258,13419,13579,9798,29881,14916,13438,9253,2217,3337,1587,2921,140582,39226,8362526.0,2640529.0,11806,8545,157275,44167,105370,35335,111024,36871,8259,8083,81102,19755,72843,18929,1802,2925,1150,2496,72843,18929,19683,10762,53160,16302,72843,18929,56105,16432,72843,18929
035,4503,5077,4348,4614,5720,5645,3364,3615,4341,4966,4974,5505,4788,4861,3076,3585,158507,43004,1826,2525,2184,2550,3727,3890,2152,2790,1463,2284,999,2006,2204,2787,2663,3185,4326,3999,2675,3062,2114,2764,1815,2502,4082.0,923.0,7026,8205,13005,10170,118594,35827,15636,13553,381,1563,0,1287,287,1563,3578,4803,690,2227,2888,3918,158507,43004,61591,21422,69869,23155,10848,7638,4656,4685,6629,5619,2466,3191,3495,3671,4024,4134,144,1461,314,1526,367,1560,186,1400,125,1388,646,1863,312,1515,405,1618,709,1916,3560,4023,4742,4894,4108,4232,919,2151,4182,4699,3595,4029,3936,4174,1469,2388,27541,13935,5723,4962,7011,5574,15948,9875,13563,9195,17844,10038,5048,4354,1464,2332,1031,2062,110092,28143,5585673.0,1886121.0,9211,6271,123332,31365,74879,24191,79749,25480,6569,6160,69509,16309,62940,15658,1718,2552,1316,2450,62940,15658,18332,9091,44608,13783,62940,15658,43850,14079,62940,15658
045,2776,3129,3003,3451,3103,3464,1995,2555,2800,3152,3012,3442,2941,3320,1853,2415,97765,30912,1442,1994,1440,1805,2147,2343,1250,1758,877,1490,774,1565,1062,1601,2174,2602,2589,2729,1894,2224,1115,1715,1319,1856,3246.0,853.0,985,1981,20163,13867,70917,25340,3618,4605,227,1201,80,1098,208,1213,1567,2479,116,1133,1451,2337,97765,30912,33850,14563,39227,15966,5759,4942,1742,2267,4072,3840,3272,3480,3278,3443,2536,2749,0,1001,148,1136,278,1257,99,1060,0,1001,52,982,74,1021,108,1034,472,1306,2544,3240,2568,3078,2440,2796,640,1481,2386,2961,2127,2625,2682,3068,969,1728,19307,10558,3771,3565,3798,3520,10467,6867,7314,5339,8271,5768,3586,3448,722,1559,556,1405,67371,20713,3422122.0,1353087.0,6092,4737,76242,23200,41423,16506,44778,17599,7625,5512,43714,11160,36089,10690,1731,2209,867,1537,36089,10690,11419,6582,24670,8840,36089,10690,19831,8332,36089,10690
057,2770,2740,2867,3023,3034,3371,1623,2155,2783,3211,3297,3276,2670,3038,1530,1932,95378,28650,715,1300,1887,2076,2880,2485,1708,1860,626,1145,1061,1814,1372,1905,2478,2548,2888,2385,1730,1982,1369,1876,1240,1913,2401.0,582.0,1458,2167,19687,12065,66784,23142,5340,5453,134,824,0,734,128,893,1847,2526,30,762,1817,2498,95378,28650,32301,13460,36598,14700,3695,3551,2202,2630,5604,4848,3082,3121,5728,5080,4225,3965,23,759,348,1110,418,1215,149,892,1,724,413,1133,636,1385,123,858,441,1165,2718,2891,2360,2854,1897,2322,320,987,2764,2918,2269,2772,2024,2276,572,1199,16475,8383,3074,3139,4069,3898,8984,6354,7646,5716,12125,6853,5927,4673,863,1460,627,1374,68504,20449,3093946.0,1160115.0,6063,4650,74684,22220,40515,15826,43507,16774,3301,3549,38529,10347,35228,9869,958,1461,619,1252,35228,9869,6851,4061,28377,9039,35228,9869,25580,8819,35228,9869
071,6788,7223,7033,7258,7228,7470,4543,5699,6345,7229,6790,7490,7150,7382,4270,5565,222119,63184,2667,3930,3387,4224,3721,4279,2585,3975,1597,3092,1212,3025,2599,3785,3636,4400,5520,5652,3831,4719,2355,3728,2617,4000,7790.0,1811.0,3624,5585,36434,24905,158980,51736,16172,16701,525,2897,145,2617,428,2915,5811,7792,250,2763,5561,7477,222119,63184,86178,31023,97345,33324,13997,10530,6491,6605,14653,11246,8434,7545,9450,8114,6274,6775,104,2533,578,2813,650,2910,677,2965,167,2573,504,2808,652,2844,808,3046,1275,3303,5659,6234,5874,6677,6141,6799,1394,3527,5437,6524,5391,6174,5497,6327,1887,3636,36951,19741,9895,8686,11626,8767,22886,14783,16519,11510,23333,13386,8357,7272,1480,3394,811,2830,154096,41786,10526244.0,4012671.0,13482,9474,171719,46691,104191,34353,111101,36356,8611,8668,93897,22680,85286,21990,3204,4680,1799,3680,85286,21990,29001,14462,56285,17660,85286,21990,58294,18767,85286,21990
091,8335,8023,8854,7765,10706,9634,5750,6004,7996,8335,8876,8169,10080,9280,5678,6288,273887,72400,2515,3754,4003,4762,4891,5264,3143,4046,1762,3072,1101,2637,3259,4262,4937,5701,5158,5158,3928,4634,2651,3746,1984,3208,5911.0,1215.0,6584,7494,51535,30137,191130,58061,15729,16859,1944,2767,67,1998,929,3006,5969,7318,541,2584,5428,6907,273887,72400,107444,35226,123096,38989,15491,11982,8333,7726,17133,12401,11016,9109,14078,10546,9690,8643,79,1983,617,2521,647,2516,428,2384,116,2023,477,2363,464,2312,840,2852,1339,2928,7921,7564,8380,8278,7669,7136,1717,3399,7178,7182,7908,7878,7817,7689,1857,3653,38187,20312,8003,7966,12351,10143,28225,16746,19520,13589,40806,18267,17381,11420,3108,4458,1123,2629,185001,47581,10133504.0,3112589.0,18099,12049,207104,52974,135860,41158,143572,43282,6385,7183,109967,25222,103582,24851,2711,4110,1235,2858,103582,24851,28684,14407,74898,20865,103582,24851,74921,22306,103582,24851
097,5103,5153,5500,5203,6449,5650,3973,4313,4782,4864,5202,5000,6255,5634,3789,4143,178853,46098,1982,2798,2714,3055,3424,3549,2187,2667,1250,2159,1171,2413,2162,2872,2922,3145,4004,3816,2623,2998,2098,2850,1859,2769,4970.0,957.0,4308,5041,21209,15130,135146,38250,13958,13745,206,1615,16,1585,263,1879,3747,5083,187,1754,3560,4900,178853,46098,68933,22526,78730,24471,10415,7346,5449,5315,8034,6626,4502,4360,5678,5125,6578,5303,137,1650,419,1892,554,1893,479,1838,96,1618,469,1834,617,1942,374,1798,1072,2238,4751,4916,4900,4790,5039,4981,1097,2260,4275,4404,5088,5119,4719,4629,1029,2329,27887,13291,6156,5219,9897,7116,17895,10202,13051,8328,25574,11625,8135,5931,1898,2885,1091,2223,123529,30006,8266076.0,2607265.0,9174,6299,137709,33833,87514,26042,91996,27301,7245,6502,75619,16555,68374,16141,1366,2434,858,2052,68374,16141,19245,9912,49129,13286,68374,16141,49085,14610,68374,16141
109,2345,2529,2218,2216,3037,2922,1689,1774,1960,2175,2580,2423,2362,2366,1670,1920,84580,22399,1132,1493,1440,1584,1810,1638,1254,1443,769,1330,503,1059,1254,1425,1630,1676,2051,1988,1471,1714,690,1194,978,1348,2195.0,499.0,683,1229,4164,3857,71335,19856,6083,5850,119,820,54,703,196,847,1946,2571,384,1186,1562,2206,84580,22399,33350,11304,37074,11990,3657,3087,2288,2236,5531,4067,4563,3385,4577,3258,3748,2976,21,667,141,743,313,955,223,832,88,712,137,764,104,718,159,822,501,1072,1623,1792,2663,2710,2107,2071,623,1164,1971,2034,1731,1919,2318,2281,453,995,15429,7186,3280,2614,5377,3921,9174,5514,6759,4679,9635,4883,3494,2696,534,1015,373,952,60879,14912,3143663.0,1126800.0,5965,3803,66698,16667,40539,12836,42793,13366,3034,3018,36655,8481,33621,8084,718,1273,590,1180,33621,8084,8135,4756,25486,6871,33621,8084,23759,7263,33621,8084
119,37269,36143,36701,33963,35640,33243,20982,23849,35588,34826,34828,33407,35703,33531,21028,23630,1095170,294822,8226,13824,10616,14909,14468,17536,8456,13708,4567,10770,5122,11702,9995,15207,14817,18176,17304,19304,12170,16574,8014,13369,9025,14550,22752.0,4160.0,65898,59774,340835,167425,506691,165791,146710,103133,2351,10332,380,8455,4023,12632,28282,34813,1489,9684,26793,33741,1095170,294822,418422,132617,503525,151604,84645,54372,42459,36980,80297,53486,36486,31598,34897,30748,22600,24754,988,8957,2855,10300,3665,10987,3156,10497,863,8869,3304,10808,3744,10954,3343,10690,7041,14013,28959,29235,29848,30318,26306,27064,6504,13707,26573,27996,28126,28712,27982,28642,11015,17958,105734,66173,16909,21265,33741,29959,111567,69123,62112,47734,223029,92848,86971,50755,19991,21975,8599,14378,738751,193632,48027067.0,14675194.0,48790,38176,836693,218713,584086,171292,613815,180284,33652,32860,455602,100425,421950,99624,19508,21487,4222,11069,421950,99624,183956,71902,237994,69454,421950,99624,333182,93093,421950,99624
159,4044,4765,4432,4577,4725,4708,2976,3362,3972,4484,4501,5016,4050,4386,2720,3395,140978,41584,1645,2334,2462,2953,2811,3000,2352,2617,888,1689,977,1813,1556,2210,2742,3034,3331,3244,2295,2631,1775,2400,1819,2570,4063.0,1041.0,1417,2631,22334,14851,101124,32899,12736,12652,352,1499,16,1241,220,1509,2779,3589,134,1382,2645,3517,140978,41584,51211,19425,59105,21318,8702,6370,3963,4141,6445,5550,3619,3987,5270,5059,4558,4740,39,1287,154,1342,363,1553,338,1482,183,1393,492,1742,399,1563,260,1442,881,2076,3637,4049,3742,4013,4355,4468,955,2129,3254,4054,3269,3816,3415,3883,931,1915,26177,13481,5590,4938,7393,5903,15352,9338,9893,7228,13975,8987,3878,3705,909,1894,572,1638,97428,27503,4902405.0,1813257.0,9045,6044,109534,30503,63191,22356,67952,23778,7915,6534,62052,15277,54137,14829,2296,2979,1107,2237,54137,14829,16418,9222,37719,12025,54137,14829,37335,12844,54137,14829
167,1709,1762,2135,1997,1921,2017,1310,1601,1663,1696,1659,1725,1855,1815,1212,1462,62050,16216,810,1142,1076,1257,1406,1411,759,944,622,883,578,1033,694,935,1228,1376,1690,1658,1054,1180,920,1174,905,1124,2012.0,459.0,1058,1712,7011,4350,49951,14439,2706,3072,59,633,0,611,0,611,1265,1703,288,967,977,1355,62050,16216,23681,8068,26913,8700,3139,2560,988,1249,2547,1810,1639,1667,3164,2271,3192,2377,74,647,266,772,219,777,134,696,39,644,217,759,161,704,131,685,336,822,1601,1738,1440,1691,1599,1773,427,939,1301,1496,1306,1453,1508,1619,481,950,11521,5073,2423,2029,3444,2553,7017,4095,5579,3404,5526,3506,1751,1671,258,723,144,631,43551,10977,2477516.0,763765.0,3327,2500,48522,12102,28716,9027,30263,9474,4158,3140,28007,6287,23849,5987,812,1232,308,774,23849,5987,6028,3595,17821,5002,23849,5987,15232,4881,23849,5987
179,6825,6377,8227,6901,10730,7721,6518,6093,6572,6311,8552,7219,9685,7474,6209,5560,235767,58225,1906,2779,2740,3415,3930,4036,2511,3165,1060,2345,1067,2408,2356,3294,3063,3450,4510,4456,2929,3545,1846,2852,1850,3001,5203.0,1031.0,7804,7204,26605,18325,168665,48490,26526,19611,474,2143,57,1726,510,2287,5126,6087,255,1979,4871,5917,235767,58225,90394,28129,103142,31220,13249,9202,7651,7231,15277,10256,10463,7939,13106,9222,9878,7659,329,1929,740,2175,922,2339,809,2241,271,1966,716,2172,1107,2549,974,2480,1632,2802,6898,6118,8513,6629,8977,7390,1494,2841,6845,5975,7741,6558,8491,7129,2216,3387,30976,15267,4702,4782,9837,7259,21935,12640,13507,9038,37178,15786,13150,7904,2883,3600,1186,2437,151085,36139,12207351.0,3677124.0,12026,8197,172261,41892,116497,33611,122400,35047,4756,5763,82547,18574,77791,18054,1193,2646,875,2321,77791,18054,13428,8624,64363,16388,77791,18054,61576,16614,77791,18054
